company_name,website,emails,phones,address,city,country,niche,sources,confidence
www.eventushungary.com,https://www.eventushungary.com,eventus@eventushungary.com,+36705108778,,,,esemény szervező,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény szervező,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény szervező,ddg_search,0.9
Kezdőoldal,https://essentiaevent.hu,essentiaevent@essentiaevent.hu,+36303789561,,,,esemény szervező,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény szervező,ddg_search,0.9
Gála,https://gala.hu/kapcsolat,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény szervező,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény szervező,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény szervező,ddg_search,0.9
Jbagency,https://jbagency.hu,"hello@jbagency.hu, alexandra@jbagency.hu, nora@jbagency.hu, info@jbevent.hu","+36304026566, +36204166596",,,,esemény szervező,ddg_search,0.9
Kapcsolat és elérhetőségek,https://budapestevent.hu/kapcsolat,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény szervező,ddg_search,0.9
KopProdukco Eseményszerevő elérhetőség,https://www.koprodukcio.hu/kapcsolat,"info@koprodukcio.hu, info@domainem.hu","+36704312928, +36703003054, +36709421106",,,,esemény szervező,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/kapcsolat,"meeting@meetingbudapest.hu, info@meetingbudapest.hu, szervezes@meetingbudapest.hu, tervezes@meetingbudapest.hu","+36309500240, +3614601150",,,,esemény szervező,ddg_search,0.9
TreEvent Team,https://treeventteam.com,info@treeventteam.com,,,,,esemény szervező,ddg_search,0.65
EventCompany,http://eventcompany.hu,contact@eventcompany.hu,,,,,esemény szervező,ddg_search,0.65
The Dinner Club Hungary: Wedding Decoration Budapest ...,https://www.dinnerclubhungary.com,"hello@dinnerclubhungary.com, user@domain.com",,,,,esemény szervező,ddg_search,0.65
Magyar CIVINET,https://civitas.eu/civinets/magyar-civinet/hu,,+351229397130,,,,esemény szervező,ddg_search,0.55
"Rendezvény,esküvő-és konferenciahelyszínek Budapesten",https://www.rendezvenyhelyszinek.hu/helyszinek/budapest,,+36309106075,,,,esemény szervező,ddg_search,0.55
Kormányzat,https://2015-2019.kormany.hu/hu/elerhetosegek,,"+3617952000, +3617950200, +3618964737, +3614411000, +3615501858, +3614411641, +3617951200, +3617951235, +3617954755, +3614741111, +3612365111, +3614741446, +36309992118, +3614741168, +3617951000, +3617950359, +3617959516, +3617958333, +3617951700, +3617950697, +3617956766, +3617953832, +3617956816, +3614581000, +3612125918, +3614581826, +3614583441, +3617959000, +3617950893, +3617955000, +3617950381, +3617951400, +3614728000, +3617950716, +3617959184, +3617955010",,,,esemény szervező,ddg_search,0.55
Budapesti céges rendezvényhelyszínek – Cégeshelyszínek.hu,https://www.cegeshelyszinek.hu/rendezvenyhelyszinek/budapest,,,,,,esemény szervező,ddg_search,0.3
média | media,http://www.budapestjewelryweek.com/meacutedia--media.html,,,,,,esemény szervező,ddg_search,0.3
