company_name,website,emails,phones,address,city,country,niche,sources,confidence
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu/,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com/,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en/,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en/,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda/,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en/,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Ambrus Rév,https://greenfo.hu/önéletrajz/ambrus-izyhddug-kornyezetvedelmi-rendezvenyszervezo-budapest/,revambrus@gmail.com,+36204362899,,,,esemény,ddg_search,0.9
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
Privacy Policy,https://budapestforum.org/privacy-policy/,processing@request.the,"+3616092021, +3617092021, +3613271000, +3619999190",,,,esemény,ddg_search,0.9
Cevent.hu,https://cevent.hu/en/,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
"Advertising, Marketing & Public Relations Jobs in Budapest",https://www.randstad.com/jobs/hungary/s-advertising-marketing-public-relations/budapest/,"privacyofficer@randstad.com, complianceofficer@randstad.com, positions@randstad.when",+31205695911,,,,esemény,ddg_search,0.9
Férfi Magyar Kupa Négyes Döntő,https://funcode.hu/hu/event/3928-ferfi-magyar-kupa-negyes-donto,support@funcode.hu,,,,,esemény,ddg_search,0.65
Aktuális híreink – 2026. március 15.,https://ttkhk.bme.hu/aktualis-hireink-2026-marcius-15/,"info@ttkhk.hu, palyazat@ttkhk.hu, rendezveny@ttkhk.hu, pr@ttkhk.hu",,,,,esemény,ddg_search,0.65
H.A.C.K.,https://hsbp.org/tiki-calendar_edit_item.php?calitemId=1895,dnet@faszkorbacs.hu,,,,,esemény,ddg_search,0.65
MeetingBudapestRendezvényszervezõKft.,https://meeting-budapest-rendezvenyszervez-kft.cegteszt.eu/,,+3614598061,,,,esemény,ddg_search,0.55
"Munkaügyi- és bérügyi referens állás, Debrecen",https://www.cvonline.hu/hu/master/allas/munkaugyi-es-berugyi-referens-1860325,,+3625032026,,,,esemény,ddg_search,0.55
NECC PARTY //BUDAPESTPARK // 04.24. -BudapestPark,https://www.budapestpark.hu/events/necc-party-budapest-park-04-24-20260424,,,,,,esemény,ddg_search,0.3
Freemail,https://accounts.freemail.hu/,,,,,,esemény,ddg_search,0.3
Free TemporaryEmail- EmailOnDeck.com,https://www.emailondeck.com/,,,,,,esemény,ddg_search,0.3
"Duplantis már alig várja, hogy mindenki hallja abudapestivilágdöntőre...",https://mel.hu/duplantis-mar-alig-varja-hogy-mindenki-hallja-a-budapesti-vilagdontore-irt-himnuszat-566264.html,,,,,,esemény,ddg_search,0.3
