company_name,website,emails,phones,address,city,country,niche,sources,confidence
RendezvényMesterek – Esküvő- és rendezvényszervezés,https://rendezvenymesterek.hu,"banhegyizsofi@gmail.com, banhegyizsolt.cm@gmail.com","+36304561895, +36304192621","1149 Budapest, Nagy Lajos király útja 214.",,,esemény,ddg_search,1.0
Demoniq Christine,https://edeselet.hu/uzlet/fetis-ruhazat/fehernemuk/demoniq-christine-mellemelos-ordog-szoknya,uzlet@edeselet.hu,"+36703506969, +3617806969, +36705816969, +36703369001, +36308804230, +36705906969","Teréz körút 58, 1066, Budapest, Magyarország",Budapest,Magyarország,esemény,ddg_search,1.0
Meetings & Events | InterContinental Budapest,https://www.budapest.intercontinental.com/en/events,"icbudapest.sales@ihg.com, budapest@ihg.com","+3613276366, +3680018893, +3680080321",,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Rendezvényszervezéss,https://luxuryevent.hu/en,info@luxuryevent.hu,+36706000192,,,,esemény,ddg_search,0.9
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
One click away from successful events | Reflow Event Agency,https://www.reflowevents.hu/en,hello@reflowevents.hu,+36306565339,,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Határoknélkül,http://www.hataroknelkul.hu,iroda@hataroknelkul.hu,"+36703228812, +3614220555, +36703884953, +36703855681",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,agency@helloagency.hu,+3613651788,,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
Budapestprogramok ma és a hétvégén,https://eventland.eu/hu/budapest-hu,budapest@eventland.eu,"+421910246393, +3611042026, +3644005400, +3635004200, +3619902390, +3635007600, +3635007000, +3623032026, +3623022026, +3615022026",,,,esemény,ddg_search,0.9
iPhone 14 Pro Max,https://almapiac.com/iphone/iphone-14/iphone-14-pro-max/120-iphone-14-pro-max/83200-iphone-14-pro-max-256gb-fugget,info@almaadasvetel.hu,+36706604841,,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
Kezdőoldal,https://bilds.hu,essentiaevent@essentiaevent.hu,+36303789561,,,,esemény,ddg_search,0.9
Event organization with 20 years of experience,https://hrsnyevents.com/en,office@hrsnyevents.com,"+36704660274, +36308275237",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Ru,https://ru.dltv.org,"info@dltv.org, stat@dltv.org, dev@dltv.org, plus@dltv.org",+79042511181,,,,esemény,ddg_search,0.9
New York CaféBudapest,https://newyorkcafe.hu/en,newyorkcafe.reservation@cafeandevent.eu,,,,,esemény,ddg_search,0.65
RENDEZVÉNYSZERVEZÉS,https://rendezvenyszervezes.lap.hu,"internetsales@centralmediacsoport.hu, centralmediacsoport@centralmediacsoport.hu, info@fenypontmedia.hu",,,,,esemény,ddg_search,0.65
Main page EN,https://horizontiroda.hu/en/main-page-en,info@horizontiroda.hu,,,,,esemény,ddg_search,0.65
Pannon Roller Disco,https://rollerdisco.hu,hello@rollerdisco.hu,,,,,esemény,ddg_search,0.65
bkk.hu/en,https://bkk.hu/en,,+3613255255,,,,esemény,ddg_search,0.55
Lépjen Velünk Kapcsolatba | Sikeres Esemény Budapest,https://www.sikeresesemeny.com/kapcsolat,,,,,,esemény,ddg_search,0.3
Gdg,https://gdg.community.dev/events/details/google-gdg-budapest-presents-agentic-ai-hackthon,,,,,,esemény,ddg_search,0.3
