company_name,website,emails,phones,address,city,country,niche,sources,confidence
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
InterContinental Budapest,https://www.budapest.intercontinental.com,"corso.restaurant@ihg.com, icbudapest.spa@ihg.com, arz.restaurant@ihg.com, budapest@ihg.com, icbudapest.sales@ihg.com","+3613276392, +3613276427, +3680018893, +3613276366, +3613276333, +3680080321",,,,esemény,ddg_search,0.9
Event By Naomi,https://eventbynaomi.hu/elerhetoseg.html,eventbynaomi@gmail.com,+36305299428,,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
HUNOG,https://hunog.hu/en,"info@hunog.hu, info@goodevent.hu, ugyfelszolgalat@naih.hu, titkarsag@nic.hu, angelus.barbara@domain.hu, gyulai.kinga@goodevent.hu, bekelteto.testulet@bkik.hu, central@company.hu","+3612380115, +36704426061, +3614882131, +3613911400, +36309507815, +36303452041",,,,esemény,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
"Event planning in Hungary, Budapest | R&G Smart Event",https://rgsmartevent.com/en/event-planning,info@rgsmartevent.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
See TECH GENERATION & TECHLOVERS NETWORKING NIGHT,https://www.startupgrind.com/events/details/startup-grind-budapest-presents-tech-generation-techlovers-networking-night-powered-by-tech-in-the-city,balazs@startupgrind.com,+36709457175,,,,esemény,ddg_search,0.9
"Event Organizer Hungary Kft. céginfó, cégadatlap",https://webshop.opten.hu/event-organizer-hungary-kft-e10471298.html,webshop@opten.hu,,,,,esemény,ddg_search,0.65
Nemzeti Cégtár » Event Organizer Hungary Kft.,https://www.nemzeticegtar.hu/event-organizer-hungary-kft-c0109990110.html,info@nemzeticegtar.hu,,,,,esemény,ddg_search,0.65
Event Agency Budapest,https://proevent.hu/home,"uryyb@cebrirag.uh, hello@proevent.hu",,,,,esemény,ddg_search,0.65
Események,https://mcc.hu/esemenyek,,+36301375530,,,,esemény,ddg_search,0.55
HUBA & The HOZENTROGERS,https://hozentrogers.com,,,,,,esemény,ddg_search,0.3
