company_name,website,emails,phones,address,city,country,niche,sources,confidence
InterContinental Budapest,https://www.budapest.intercontinental.com,"corso.restaurant@ihg.com, icbudapest.spa@ihg.com, arz.restaurant@ihg.com, budapest@ihg.com, pbefb.erfgnhenag@vut.pbz, vpohqncrfg.fnyrf@vut.pbz, vpohqncrfg.fcn@vut.pbz, nem.erfgnhenag@vut.pbz, ohqncrfg@vut.pbz, icbudapest.sales@ihg.com","+3613276392, +3613276427, +3680018893, +3613276366, +3613276333, +3680080321",,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, xbinpfwnabf@tznvy.pbz, nwnayng@gbhpur.uh, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/kapcsolat,"meeting@meetingbudapest.hu, info@meetingbudapest.hu, szervezes@meetingbudapest.hu, tervezes@meetingbudapest.hu, zrrgvat@zrrgvatohqncrfg.uh, vasb@zrrgvatohqncrfg.uh, fmreirmrf@zrrgvatohqncrfg.uh, greirmrf@zrrgvatohqncrfg.uh","+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,"agency@helloagency.hu, ntrapl@uryybntrapl.uh",+3613651788,,,,esemény,ddg_search,0.9
Budapestevent,https://budapestevent.hu,"hostess@budapestevent.hu, ubfgrff@ohqncrfgrirag.uh, vasb@ohqncrfgrirag.uh, nwnk-ybnqre@2k.tvs, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"xrgsnexhxhgln@tznvy.pbz, zxxcrgvxnvovmbggfnt@tznvy.pbz, ryabxfrt@zxxc.uh, ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény,ddg_search,0.9
"rendezvényszervező, Rendezvényszervezés budapest, Rendezvény",https://elmenyhajo.hu,"ryzralunwb@ryzralunwb.uh, elmenyhajo@elmenyhajo.hu",+36706105107,,,,esemény,ddg_search,0.9
Imprint,https://www.kempinski.com/en/hotel-corvinus-budapest/imprint,"rznvy@rknzcyr.pbz, ubgry.pbeivahf@xrzcvafxv.pbz, h003rubgry.pbeivahf@xrzcvafxv.pbz, erfreingvbaf.pbecbengr@xrzcvafxv.pbz, vasbezngvba.pbecbengr@xrzcvafxv.pbz, vasb.qrirybczrag@xrzcvafxv.pbz, ce.pbecbengr@xrzcvafxv.pbz, vasb.erfvqraprf@xrzcvafxv.pbz, pbagnpg@qvfpbirelyblnygl.pbz, email@example.com, hotel.corvinus@kempinski.com, u003ehotel.corvinus@kempinski.com, reservations.corporate@kempinski.com, information.corporate@kempinski.com, info.development@kempinski.com, pr.corporate@kempinski.com, info.residences@kempinski.com, contact@discoveryloyalty.com",+3614293777,,,,esemény,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"rh-ot@uopp.rh, xnznen@uopp.rh, nzonffnqbe@obytneobebx.uh, eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény,ddg_search,0.9
"Rendezvényszervezés frissen, egyedi ötletekkel",https://www.conceptflow.hu/kapcsolat,"hello@conceptflow.hu, uryyb@pbaprcgsybj.uh",+36207718604,,,,esemény,ddg_search,0.9
Event Organizer Hungary Kft.,https://ulpia.me/event-organizer/224,"yrbaneq.ynpmxb@qragnyjbeyq.uh, vasb@qragnyjbeyq.uh, leonard.laczko@dentalworld.hu, info@dentalworld.hu",,,,,esemény,ddg_search,0.65
Youth Bridges Budapest,https://www.youthbridgesbudapest.org,"info@youthbridgesbudapest.org, vasb@lbhguoevqtrfohqncrfg.bet",,,,,esemény,ddg_search,0.65
RSVP Event Kft.,https://www.rsvp.hu,"event@rsvp.hu, rznvy@qbznva.pbz, rirag@efic.uh, email@domain.com",,,,,esemény,ddg_search,0.65
POV Budapest,https://www.povbudapest.com,"info@povbudapest.com, vasb@cbiohqncrfg.pbz",,,,,esemény,ddg_search,0.65
Kapcsolat | IBUSZ rendezvények | IBUSZ,https://www.ibusz.hu/rendezvenyek/kapcsolat,,+3614852700,,,,esemény,ddg_search,0.55
Boogie Show,https://eng.mrfirehand.com/concerts/boogie_show_-_budapest-908,,"+36709084105, +36205122961",,,,esemény,ddg_search,0.55
Események,https://tedxdebrecen.com/esemeny,,,,,,esemény,ddg_search,0.3
Private Events Budapest: Főoldal,https://rabbit.bar,,,,,,esemény,ddg_search,0.3
HUBA & The HOZENTROGERS,https://hozentrogers.com,,,,,,esemény,ddg_search,0.3
